timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
1619121600000,0.04791000,0.04800000,0.04555000,0.04639000,102644.37700000,1619135999999,4792.34040129,155594,51389.60400000,2397.49044284,0
1619136000000,0.04639000,0.04691800,0.04350000,0.04538100,134868.41500000,1619150399999,6114.99498478,172639,62535.66200000,2838.16367792,0
1619150400000,0.04538000,0.04541400,0.04390000,0.04448700,104735.16700000,1619164799999,4693.63733621,118949,54418.97600000,2439.23918574,0
1619164800000,0.04448400,0.04622700,0.04434000,0.04583900,82666.85900000,1619179199999,3757.25514494,92418,40722.36600000,1849.15124553,0
1619179200000,0.04584000,0.04696500,0.04518100,0.04683300,52017.27100000,1619193599999,2385.98829221,56547,27696.99800000,1270.72944243,0
1619193600000,0.04684800,0.04702600,0.04590300,0.04647900,46273.57000000,1619207999999,2152.98891911,60467,22456.19600000,1044.18630614,0
1619208000000,0.04646100,0.04655800,0.04568900,0.04632000,34426.41300000,1619222399999,1586.84123241,51022,17793.88100000,819.83436962,0
1619222400000,0.04631500,0.04632000,0.04513600,0.04583500,44902.35900000,1619236799999,2050.41061909,54451,26717.60100000,1219.53630378,0
1619236800000,0.04584000,0.04619800,0.04534000,0.04563500,20508.85000000,1619251199999,939.33411073,32585,11383.46600000,521.51396724,0
1619251200000,0.04563400,0.04591800,0.04423100,0.04441100,39652.93100000,1619265599999,1787.88879051,48554,20296.34300000,915.06028574,0
1619265600000,0.04441100,0.04507400,0.04425000,0.04482300,25796.43600000,1619279999999,1153.03669214,33586,13026.77500000,582.20789403,0
1619280000000,0.04482600,0.04510000,0.04454100,0.04480500,13851.41500000,1619294399999,621.25986768,24366,6985.08500000,313.30009006,0
1619294400000,0.04479900,0.04507200,0.04410100,0.04422200,19502.33200000,1619308799999,871.17052880,27335,9056.36600000,404.48636337,0
1619308800000,0.04422200,0.04475200,0.04371000,0.04406800,20340.01600000,1619323199999,902.87437216,22692,9460.24200000,420.00471453,0
1619323200000,0.04407400,0.04412100,0.04404000,0.04412100,14.83300000,1619323259206,0.65375634,84,9.72200000,0.42853799,0
1619337600000,0.04412100,0.04629700,0.04412100,0.04618300,40639.71200000,1619351999999,1852.42879827,47233,18775.72400000,854.93643539,0
1619352000000,0.04617500,0.04669600,0.04611700,0.04659800,44409.69800000,1619366399999,2061.96886203,43408,23249.89100000,1079.15253713,0
1619366400000,0.04660400,0.04680800,0.04637400,0.04656200,15773.08500000,1619380799999,735.42225020,19310,8168.75700000,380.86805228,0
